Order ID,Customer ID,Product ID,Quantity,Total Price
10001,C103,P08,8,2187.59
10002,C436,P14,3,983.41
10003,C349,P07,8,3605.14
10004,C271,P07,6,2827.72
10005,C107,P01,6,1869.13
10006,C072,P17,6,2409.13
10007,C189,P09,3,827.16
10008,C021,P13,1,398.43
10009,C103,P19,4,727.68
10010,C122,P19,6,1490.56
10011,C467,P17,2,707.38
10012,C215,P10,7,750.84
10013,C331,P10,7,2722.89
10014,C459,P04,4,1736.86
10015,C088,P08,4,1038.63
10016,C373,P20,1,279.18
10017,C100,P20,2,881.03
10018,C360,P18,9,3692.36
10019,C152,P14,8,1722.08
10020,C131,P18,8,1836.72
10021,C150,P14,9,3343.96
10022,C309,P20,7,2276.95
10023,C258,P15,9,1484.03
10024,C344,P04,2,447.94
10025,C492,P13,6,2759.96
10026,C414,P08,3,1125.81
10027,C294,P18,6,2966.34
10028,C386,P12,3,1220.42
10029,C192,P14,8,3814.32
10030,C444,P02,4,745.9
10031,C277,P18,6,2451.56
10032,C161,P02,9,972.78
10033,C460,P11,2,736.61
10034,C314,P09,2,575.43
10035,C022,P12,7,1670.93
10036,C253,P17,2,889.92
10037,C236,P15,2,883.41
10038,C345,P17,4,435.68
10039,C049,P18,9,3094.22
10040,C475,P06,8,1977.06
10041,C059,P17,2,532.53
10042,C170,P18,8,3462.53
10043,C476,P08,4,895.74
10044,C188,P09,2,954.44
10045,C464,P06,7,1202.97
10046,C271,P05,6,2190.53
10047,C190,P12,5,1844.21
10048,C446,P11,1,200.88
10049,C175,P01,2,459.8
10050,C446,P11,8,3471.36
10051,C051,P19,1,404.72
10052,C364,P09,3,694.92
10053,C055,P02,2,627.17
10054,C244,P12,5,623.36
10055,C320,P04,4,733.99
10056,C131,P04,7,2060.3
10057,C485,P18,5,671.95
10058,C307,P15,8,3498.66
10059,C135,P19,4,1548.81
10060,C021,P13,6,2864.72
10061,C329,P19,4,1509.55
10062,C167,P17,2,952.32
10063,C274,P06,1,321.81
10064,C388,P16,1,340.09
10065,C089,P12,8,3926.31
10066,C316,P19,4,1427.41
10067,C014,P05,5,561.57
10068,C242,P17,8,3116.17
10069,C265,P01,7,3235.31
10070,C346,P10,8,3345.86
10071,C053,P15,8,2668.27
10072,C386,P11,6,2211.13
10073,C340,P13,2,992.15
10074,C092,P05,6,817.59
10075,C367,P01,1,366.9
